name,ingredients,diet,prep_time,cook_time,flavour,dish_type,state,region
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,west bengal,east
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,rajasthan,west
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,punjab,north
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,rajasthan,west
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,west bengal,east
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,west bengal,east
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,uttar pradesh,north
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,maharashtra,west
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,west bengal,east
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,uttar pradesh,north
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,maharashtra,west
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,punjab,north
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,gujarat,west
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,uttar pradesh,north
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,odisha,east
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,uttar pradesh,north
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,maharashtra,west
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,uttarakhand,north
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,uttar pradesh,north
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,70,60,sweet,dessert,maharashtra,west
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,odisha,east
Chhena kheeri,"Chhena, sugar, milk",vegetarian,27,60,sweet,dessert,odisha,east
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,odisha,east
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,west bengal,east
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,odisha,east
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,west bengal,east
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,assam,north east
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,bihar,north
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,west bengal,east
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,west bengal,east
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,west bengal,east
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,assam,north east
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,odisha,east
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,west bengal,east
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,west bengal,east
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,west bengal,east
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,west bengal,east
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,andhra pradesh,south
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,andhra pradesh,south
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,maharashtra,west
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,karnataka,south
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,telangana,south
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,andhra pradesh,south
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,andhra pradesh,south
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,kerala,south
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,karnataka,south
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,karnataka,south
Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,andhra pradesh,south
Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,andhra pradesh,south
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,tamil nadu,south
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,andhra pradesh,south
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,telangana,south
Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,telangana,south
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,tamil nadu,south
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,andhra pradesh,south
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,maharashtra,west
Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,gujarat,west
Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,maharashtra,west
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,gujarat,west
Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,maharashtra,west
Modak,"Rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,maharashtra,west
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,maharashtra,west
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,5,sweet,dessert,maharashtra,west
Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,maharashtra,west
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,assam,north east
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,27,36,spicy,main course,tripura,north east
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,manipur,north east
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,nagaland,north east
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,punjab,north
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,punjab,north
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,punjab,north
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,punjab,north
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,punjab,north
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,punjab,north
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,punjab,north
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,telangana,south
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,nct of delhi,north
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,punjab,north
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,unknown,main course,maharashtra,west
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,west bengal,east
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,punjab,north
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,punjab,north
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,punjab,north
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,rajasthan,west
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,west bengal,east
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,punjab,north
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,punjab,north
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,jammu & kashmir,north
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,starter,maharashtra,west
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,starter,chhattisgarh,central
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,starter,uttar pradesh,north
